name,closing_date,verification_date,institution,verification,guidelines,faq,state
PRE-MATRIC SCHOLARSHIP FOR SC STUDENTS (CLASS IX AND X) - ASSAM,Open till 10-02-2024,Open till 15-02-2024,Open till 15-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/Assam_PRE_Matric_Scholarship_Guideline_updated.pdf,https://www.scholarships.gov.in/public/FAQ/FAQ_ASSAM.pdf,ASSAM
POST MATRIC SCHOLARSHIP FOR SC STUDENTS - ASSAM,Open till 10-02-2024,Open till 15-02-2024,Open till 15-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/Assam_Post_Matric_guideline.pdf,https://www.scholarships.gov.in/public/FAQ/FAQ_ASSAM.pdf,ASSAM
PRE MATRIC SCHOLARSHIP TO OBC STUDENTS (CLASS 9 AND CLASS 10) -ASSAM,Open till 10-02-2024,Open till 15-02-2024,Open till 15-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/PRE_MATRIC_OBC_GUIDELINES.pdf,https://www.scholarships.gov.in/public/FAQ/FAQ_ASSAM.pdf,ASSAM
PRE MATRIC SCHOLARSHIP TO ST STUDENTS (CLASS IX AND X) - ASSAM,Open till 29-02-2024,Open till 10-03-2024,Open till 10-03-2024,Open till 2024-03-31,https://www.scholarships.gov.in/public/schemeGuidelines/guidelines-Pre-matric-ST.pdf,https://www.scholarships.gov.in/public/FAQ/FAQ_ASSAM.pdf,ASSAM
POST MATRIC SCHOLARSHIP TO OBC STUDENTS - ASSAM,Open till 10-02-2024,Open till 15-02-2024,Open till 15-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/POST_MATRIC_OBC_GUIDELINES.pdf,https://www.scholarships.gov.in/public/FAQ/FAQ_ASSAM.pdf,ASSAM
POST MATRIC SCHOLARSHIP TO ST STUDENTS - ASSAM,Open till 29-02-2024,Open till 10-03-2024,Open till 10-03-2024,Open till 2024-03-31,https://www.scholarships.gov.in/public/schemeGuidelines/Post-matric-guidelines-ST.pdf,https://www.scholarships.gov.in/public/FAQ/FAQ_ASSAM.pdf,ASSAM
PRE-MATRIC SCHOLARSHIP FOR SC STUDENTS(COMPONENT-II)-ASSAM,Open till 10-02-2024,Open till 15-02-2024,Open till 15-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/Assam_PRE_Matric_Scholarship_Guideline_updated.pdf,https://www.scholarships.gov.in/public/FAQ/FAQ_ASSAM.pdf,ASSAM
Umbrella Scheme for Education of ST Students-Pre Matric Scholarship (Class IX & X) for ST Students Arunachal Pradesh,Open till 30-01-2024,Open till 15-02-2024,Open till 15-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/EDUGuidelinesAnnex1.pdf,https://www.scholarships.gov.in#,Pre Matric Scholarship (Class IX & X) for ST Students Arunachal Pradesh
Umbrella Scheme for Education of ST Children -Post Matric Scholarship (PMS) for ST Students Arunachal Pradesh,Open till 15-01-2024,Open till 31-01-2024,Open till 31-01-2024,Open till 2024-02-12,https://www.scholarships.gov.in/public/schemeGuidelines/EDUPostMatricScholarshipPMSforSTstudents.pdf,https://www.scholarships.gov.in#,Post Matric Scholarship (PMS) for ST Students Arunachal Pradesh
Scheme for Award of Stipend to the schedule tribe students of Arunachal Pradesh,Open till 15-01-2024,Open till 31-01-2024,Open till 31-01-2024,Open till 2024-02-12,https://www.scholarships.gov.in/public/schemeGuidelines/ArunachalPradeshStipendSchemeGuideline.pdf,https://www.scholarships.gov.in#,Scheme for Award of Stipend to the schedule tribe students of Arunachal Pradesh
"CENTRALLY SPONSORED PREMATRIC SCHOLARSHIP SCHEME FOR ST STUDENTS(CLASS IX,X)-ANDAMAN AND NICOBAR",Open till 31-01-2024,Open till 15-02-2024,Open till 15-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/Andaman/andaman_2051_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Andaman/andaman_2051_F.pdf,ANDAMAN AND NICOBAR
CENTRALLY SPONSORED POST MATRIC SCHOLARSHIP SCHEME FOR ST STUDENTS-ANDAMAN AND NICOBAR,Open till 31-01-2024,Open till 15-02-2024,Open till 15-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/Andaman/andaman_2052_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Andaman/andaman_2052_F.pdf,ANDAMAN AND NICOBAR
DR AMBEDKAR POST MATRIC SCHOLARSHIP FOR ECONOMICALLY BACKWARD CLASS STUDENTS-ANDAMAN,Open till 31-01-2024,Open till 20-02-2024,Open till 20-02-2024,Open till 2024-03-01,https://www.scholarships.gov.in/public/schemeGuidelines/Andaman/3026_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Andaman/3026_F.pdf,ANDAMAN
GRANT OF ADDITIONAL SCHOLARSHIP TO OBC STUDENTS FOR PURSUING HIGHER STUDIES  AFTER CLASS X(EXCEPT CLASS XI & XII)-ANDAMAN,Open till 31-01-2024,Open till 20-02-2024,Open till 20-02-2024,Open till 2024-03-01,https://www.scholarships.gov.in/public/schemeGuidelines/Andaman/3027_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Andaman/3027_F.pdf,ANDAMAN
PM YASASVI PRE MATRIC SCHOLARSHIP SCHEME FOR OBC STUDENTS (CLASS IX AND X)-ANDAMAN AND  NICOBAR,Open till 31-01-2024,Open till 20-02-2024,Open till 20-02-2024,Open till 2024-03-01,https://www.scholarships.gov.in/public/schemeGuidelines/Andaman/PRE_MATRIC_OBC_GUIDELINES_ANDMAN.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Andaman/3028_F.pdf,ANDAMAN AND  NICOBAR
PM YASASVI POST MATRIC SCHOLARSHIP SCHEME FOR OBC STUDENTS - ANDAMAN AND NICOBAR,Open till 31-01-2024,Open till 20-02-2024,Open till 20-02-2024,Open till 2024-03-01,https://www.scholarships.gov.in/public/schemeGuidelines/Andaman/POST_MATRIC_OBC_GUIDELINES_ANDMAN.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Andaman/3029_F.pdf,ANDAMAN AND NICOBAR
GRANT OF ADDITIONAL SCHOLARSHIP TO ST STUDENTS  FOR PURSUING HIGHER STUDIES -ANDAMAN AND  NICOBAR,Open till 31-01-2024,Open till 15-02-2024,Open till 15-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/Andaman/3030_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Andaman/3030_F.pdf,ANDAMAN AND  NICOBAR
POST MATRIC SCHOLARSHIP FOR SC STUDENTS-CHANDIGARH,Open till 20-01-2024,Open till 25-01-2024,Open till 25-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/chandigarh/Post Matric SC Chandigarh guidelines.pdf,https://www.scholarships.gov.in#,CHANDIGARH
POST MATRIC SCHOLARSHIP SCHEME FOR TRANSGENDER STUDENTS-CHANDIGARH,Open till 20-01-2024,Open till 25-01-2024,Open till 25-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in#,https://www.scholarships.gov.in#,CHANDIGARH
"PM YASASVI POST MATRIC SCHOLARSHIP SCHEME FOR OBC,EBC AND DNT STUDENTS-CHANDIGARH",Open till 20-01-2024,Open till 25-01-2024,Open till 25-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/chandigarh/Post Matric OBC Chandgiarh Guidelines.pdf,https://www.scholarships.gov.in#,CHANDIGARH
PRE-MATRIC SCHOLARSHIP SCHEME FOR SC STUDENTS OF CLASS IX AND X-CHANDIGARH,Open till 05-02-2024,Open till 20-02-2024,Open till 20-02-2024,Open till 2024-02-29,https://www.scholarships.gov.in/public/schemeGuidelines/chandigarh/Pre Matric SC Chandigarh guidelines.pdf,https://www.scholarships.gov.in#,CHANDIGARH
"PM YASASVI PRE MATRIC SCHOLARSHIP SCHEME FOR OBC,EBC,DNT STUDENTS (CLASS IX AND X)-CHANDIGARH",Open till 05-02-2024,Open till 20-02-2024,Open till 20-02-2024,Open till 2024-02-29,https://www.scholarships.gov.in/public/schemeGuidelines/chandigarh/Pre_matric_OBC_ebc_dnt_202324.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/chandigarh/3037_F.pdf,CHANDIGARH
BPL SCHOLARSHIP SCHEME FOR COLLEGE STUDENTS-CHATTISGARH,Closed on 30-11-2023,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-02-15,https://www.scholarships.gov.in/public/schemeGuidelines/Chattisgarh/Guidelines_3042.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Chattisgarh/FAQ_3042.pdf,CHATTISGARH
PM YASASVI PRE MATRIC SCHOLARSHIP SCHEME FOR OBC STUDENTS (CLASS IX AND X)-DNHDD,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-25,https://www.scholarships.gov.in/public/schemeGuidelines/Dadra/Dadra_2072_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Dadra/Dadra_2072_F.pdf,DNHDD
PRE MATRIC SCHOLARSHIP TO SC STUDENTS-DADRA NAGAR HAVELI,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-25,https://www.scholarships.gov.in/public/schemeGuidelines/Dadra/Dadra_2073_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Dadra/Dadra_2073_F.pdf,DADRA NAGAR HAVELI
PRE MATRIC SCHOLARSHIP TO ST STUDENTS-DADRA NAGAR HAVELI,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-25,https://www.scholarships.gov.in/public/schemeGuidelines/dadra_ST guideline.pdf,https://www.scholarships.gov.in#,DADRA NAGAR HAVELI
POST MATRIC SCHOLARSHIP TO ST STUDENTS-DNHDD,Open till 20-01-2024,Open till 20-01-2024,Open till 20-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/Dadra/Dadra_3011_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Dadra/Dadra_3011_F.pdf,DNHDD
PM YASASVI POST MATRIC SCHOLARSHIP SCHEME FOR OBC STUDENTS-DNHDD,Open till 20-01-2024,Open till 20-01-2024,Open till 20-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/Dadra/Dadra_2072_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Dadra/Dadra_3014_F.pdf,DNHDD
POST MATRIC SCHOLARSHIP TO SC STUDENTS -DNHDD,Open till 20-01-2024,Open till 20-01-2024,Open till 20-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/Dadra/Dadra_3015_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Dadra/Dadra_3015_F.pdf,DNHDD
PM YASASVI PRE MATRIC SCHOLARSHIP SCHEME FOR EBC STUDENTS (CLASS IX AND X)-DNHDD,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-25,https://www.scholarships.gov.in#,https://www.scholarships.gov.in#,DNHDD
PM YASASVI POST MATRIC SCHOLARSHIP SCHEME FOR EBC STUDENTS -DNHDD,Open till 20-01-2024,Open till 20-01-2024,Open till 20-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in#,https://www.scholarships.gov.in#,DNHDD
CENTRALLY SPONSORED SCHEME OF PRE MATRIC SCHOLARSHIP FOR NEEDY ST STUDENTS (CLASS IX & X) -GOA,Open till 31-01-2024,Open till 15-02-2024,Open till 15-02-2024,Open till 2024-03-01,https://www.scholarships.gov.in/public/schemeGuidelines/Goa/guidelines-Pre-matric-17-Oct-2022.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Goa/Goa_3003_F.pdf,GOA
CENTRALLY SPONSORED SCHEME OF POST MATRIC SCHOLARSHIP FOR ST STUDENTS-GOA,Open till 31-01-2024,Open till 15-02-2024,Open till 15-02-2024,Open till 2024-03-01,https://www.scholarships.gov.in/public/schemeGuidelines/Goa/Goa_3004_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Goa/Goa_3004_F.pdf,GOA
